q23,k23,d2
1,2,2
1, ,2
1,2,2
1,1,1
1,1,1
2,2,2
2, ,2
2, ,1
2,2,2
2,2,2
2,1,1
3,1,1
3,2,2
1,2,2
1,3,1
1,2,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
2, ,2
1,2,2
1,2,2
3, ,1
1,2,2
1,1,1
3, ,1
1,2,1
1,2,2
1,2,2
1,2,2
2, ,1
1,2,1
1,1,2
1,1,1
1,2,1
1,1,2
3, ,2
3, ,2
2, ,1
1,1,1
1,1,2
1,1,1
1,2,1
1,1,1
1,1,1
2, ,2
1,1,2
3, ,1
1,2,2
1,2,1
1,1,2
2, ,2
1,1,2
1, ,1
1,1,1
1,2,2
1,2,1
2, ,1
2,2,2
2,1,1
1, ,1
1,1,1
1,2,1
1,1,1
1, ,2
1,2,1
1, ,2
1,1,2
1,2,2
3, ,2
2, ,2
2, ,1
2, ,1
1,2,2
1,1,2
3, ,2
1,1,1
2, ,1
2, ,2
2, ,2
1,1,1
1,1,1
3,1,1
1,2,2
1,2,1
1,1,2
1,2,2
1,1,1
1,1,1
1,3,2
3,1,1
1, ,1
1,1,1
1,2,2
8,1,2
1,1,2
1,2,1
1,1,1
1,1,1
1,1,1
2, ,1
2,2,2
1,2,1
1,2,1
1,1,1
1,1,1
1,2,2
1,1,1
1,1,1
2,2,1
1,2,2
3,2,1
1,2,2
1,2,1
1,2,2
8,1,2
1,2,2
1,2,2
1,1,2
1,1,2
3,2,2
3,1,1
1,1,2
1,1,2
1,1,2
1,1,1
2, ,1
1,1,1
2, ,2
1,1,1
1,1,1
1,2,2
1,1,2
2,1,1
1,1,1
1,1,1
1,3,1
1,1,1
2,1,1
1,2,2
1,1,1
2, ,2
2, ,2
1,2,2
1, ,1
1,2,2
1, ,2
1,2,2
1,1,1
1,1,1
1,1,1
1,1,2
2,1,2
1,1,2
1, ,2
1,1,2
1,2,1
1,1,2
1,2,1
1,2,2
3, ,1
1,2,2
1,2,1
3,2,1
1,2,2
1,2,2
3, ,2
1,2,2
3, ,1
1,1,1
2,1,2
1,3,1
2, ,1
1,1,1
1,1,1
1,2,1
1,1,2
1,1,2
1,2,2
1,2,1
1,1,1
1,1,1
1,2,2
1,1,1
1,1,2
1,2,2
1,1,1
1,2,2
2,2,2
1,2,2
1, ,2
2,1,2
1,1,2
1,2,1
2,1,2
1,2,1
2,2,2
2,2,2
1,1,1
1,1,2
1,2,2
2,1,1
1,2,1
1,1,1
1,2,2
2,1,2
1,1,1
1,2,1
1,1,1
1,1,2
1,2,2
1,1,1
1,2,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,2
2,2,1
1,1,1
2, ,2
1,1,2
1,1,1
2, ,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,2,1
1,1,2
1,1,1
1, ,1
2,2,2
1,2,2
1,2,2
1,1,1
1,1,2
1,1,1
1,1,2
8,2,2
1,1,2
1,2,2
1,2,2
1,1,2
1,1,1
2,1,2
1,1,2
1,2,1
1,2,2
1,2,2
1,1,1
 , , 
1,2,1
1,2,2
1,1,1
1,2,1
1,1,2
1,1,2
3,2,2
2, ,1
1,1,1
1,1,2
1,1,2
2,1,2
1,1,1
1,1,2
1,2,2
1,1,2
1,2,1
1,1,2
1,1,1
1,2,1
1,1,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
2,1,2
1,3,1
1,2,2
2, ,2
2,2,2
1,1,2
1,1,2
1,1,2
8, ,2
1,1,1
1,2,1
1, ,1
2, ,2
1,2,2
3, ,2
1,1,2
1,2,2
3,1,1
1,1,1
3,1,1
3, ,1
1,2,2
3,2,2
1,1,2
1,1,1
1,2,2
1,1,2
1,2,1
1, ,2
1,2,2
1,2,1
1,1,1
1,2,1
1,1,2
1,1,1
8,2,2
1,1,2
1,1,2
 , , 
1,1,1
1,2,1
1,1,1
1,2,1
1,1,1
1,1,2
1,2,1
1,2,2
1,1,2
1,2,1
1,2,1
1,1,2
1,2,2
1,1,2
1,1,1
1,1,2
1,2,1
1,1,2
1,1,1
1,1,2
1,2,1
1,1,2
1,1,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,2
1,2,1
1,1,1
1,1,2
2,1,2
2, ,2
3, ,2
1,1,2
1,2,2
1,1,1
1,1,1
1, ,1
1,2,2
1,1,1
1,2,1
2, ,2
1,2,1
1,1,2
2,1,2
1,2,2
1,1,1
3,2,1
2,1,1
1,1,1
1,2,2
1,2,2
1,2,2
1,2,2
1,2,2
3, ,1
1,1,1
1,2,2
1,1,1
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,2,2
1,1,2
1,2,2
1,2,2
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,2,1
3,2,2
2, ,2
1,2,2
1,1,2
3,1,1
1,2,2
1,1,1
1,1,1
1,1,2
1,1,1
1,2,1
1,2,1
3,1,1
3,2,1
1,1,2
1,1,2
2, ,2
1,1,1
1,2,2
1,2,2
1,1,2
1,1,1
1,1,1
3,1,1
1, ,2
1,1,2
1,1,2
1,2,1
1,1,2
1,1,1
1,1,1
1,1,1
1,2,2
1, ,1
1, ,2
1,1,1
1, ,2
1, ,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,2,2
1,2,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,1,2
1,2,2
1,2,1
1,1,1
1,2,2
1,2,1
1,1,1
1,2,2
1,1,2
1,2,2
1,1,2
1,2,2
1, ,2
1,1,2
1,2,1
1,1,2
1,1,1
1,2,1
1,1,1
1,2,2
1,1,1
1,2,2
1,2,2
1,2,2
1,1,2
1,1,1
1,1,1
2, ,1
1,1,1
1,2,2
1,2,1
1,2,1
1,1,1
8, ,2
1,1,2
1,2,1
1,2,2
1, ,1
1,1,1
1,1,2
1,1,1
1,1,2
1,1,2
1,2,2
1,1,1
1, ,2
1,2,1
1,1,1
1,1,1
1,1,1
2,2,2
1,2,2
2,1,2
1, ,2
1,1,2
1,2,2
1,1,2
1,1,1
2, ,1
1,2,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,2,1
1,2,2
3, ,1
2,2,1
1,1,2
3, ,1
1, ,1
1,2,2
1,1,1
2, ,2
1,1,2
1,1,1
1,1,2
2, ,1
2, ,1
1,1,1
1,1,1
2,2,2
1,1,1
3,1,2
1,1,2
1,1,2
3,1,1
1,2,1
1,1,2
1,2,2
1,1,2
1,2,1
1,1,1
1,1,1
3,2,1
1,2,2
1, ,2
1,2,2
1,1,2
 , , 
1,1,1
1,1,1
1,2,1
2,1,1
1,1,1
1,2,2
1,1,1
1,1,1
1, ,1
1,1,2
1,2,1
1, ,1
1,2,1
1,2,2
2, ,2
1,1,1
1,2,1
1,2,2
1,1,1
1,1,1
1,1,1
1,2,1
1,2,2
1,2,1
1,1,1
1,1,1
1,1,2
2,1,2
1,2,2
1,2,1
1,2,2
1,2,2
2,1,1
2, ,1
1,2,2
1,1,2
1,2,2
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
2,1,1
2,2,1
1, ,2
1,1,1
2, ,2
1,1,2
1,1,1
1,2,1
1,1,2
3,2,2
1,2,2
1,2,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,2,2
2,2,2
1, ,1
2,1,1
1,1,1
1,2,1
1,1,1
1,1,1
2, ,1
1,1,1
1,2,2
1,1,2
1,2,1
1,1,1
1,1,1
1,1,2
1,2,2
1,1,1
2, ,2
2, ,1
1, ,1
1,2,2
2, ,2
1,1,1
1,1,1
1, ,2
1,1,2
1,1,2
1,2,2
1,1,1
1,1,1
1,1,1
1,2,2
1,1,2
1,1,2
1,2,1
1,2,1
2,1,2
1,1,2
1,2,1
1,2,2
1,1,2
1, ,1
2, ,2
1,2,1
1,2,1
1,1,2
1,2,2
1,1,1
1,1,2
1,2,1
1, ,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
2, ,2
 , , 
1,2,1
1,2,2
1,1,2
1,2,2
 , , 
1,1,2
3,1,2
1,1,2
1,1,1
1,2,1
1,1,2
1,1,2
1, ,1
1,1,1
1,2,2
1,2,2
1,1,1
1,1,1
2,1,1
1, ,2
2, ,1
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,2,2
1,1,1
 , , 
1,1,1
1,2,2
2, ,1
1,1,2
 , , 
 , , 
1,2,1
1,2,2
1,1,2
1,1,1
1,2,1
 , , 
 , , 
 , , 
1,1,2
8,2,2
1,1,2
1,1,2
2,2,2
1,1,2
1,1,1
1,2,2
1,3,1
1,2,2
1,1,2
1,1,2
1,2,2
1,1,1
1, ,2
1,1,1
2, ,1
1,2,1
1,1,1
1,1,2
1,1,1
1,1,1
1, ,2
1,1,1
1,2,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
2,2,1
1, ,2
1, ,2
2, ,2
1,1,2
2,1,1
2,1,2
1,1,2
1,2,1
2,1,2
1,1,1
1,1,1
1,1,1
2, ,1
1,1,1
1,1,1
1,1,2
1,3,1
1,1,1
1,2,2
1,2,1
1,1,2
1,1,1
1,1,1
1, ,2
1,2,2
1,2,2
1,2,1
1,2,2
1,1,1
2,2,2
3, ,2
2,2,2
1,2,1
2,2,2
1,1,2
1,2,2
1,1,2
1,1,1
1,1,1
1,2,2
1,1,1
1, ,2
1,1,2
1,1,1
1,2,2
1,2,1
1,1,1
1,2,1
1, ,1
1,1,1
1,1,2
1,1,1
1,1,2
1,2,2
1,2,1
1,1,2
1,1,2
1,1,1
2,2,1
1,1,1
1,1,2
1,2,1
1,1,1
1,1,2
1,1,2
2, ,1
1,1,2
3,2,2
3,2,2
1,1,1
1,1,1
2,2,2
1,1,2
1,1,2
1, ,2
1,1,1
1,1,1
1,2,2
1,1,2
1,1,2
1, ,1
1,2,1
1,2,2
1, ,2
1,1,2
1,1,1
1,2,1
1,1,1
1,1,2
1,1,2
1,2,1
1,1,1
1,2,1
1,1,1
2,2,1
1,1,2
1,2,1
1,1,2
2,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,2,2
2, ,2
1,2,1
1,1,2
1,1,2
1,2,2
1,1,1
1,1,2
2,1,2
1,1,1
1,1,2
1,1,1
1, ,2
1,1,2
1,1,2
 , , 
 , , 
1,2,1
8, ,1
1,2,1
1,2,2
1,2,2
1,1,1
1,1,1
1, ,2
1,1,2
2,2,2
1,1,1
2,1,1
1,2,1
1,2,2
1,1,2
3,2,2
3,2,2
1,2,2
1,1,1
2,1,1
1, ,2
1,2,1
1,1,1
1,1,2
3, ,1
1,1,1
1,1,2
1,3,1
1,3,2
1,1,2
1,1,1
1,2,2
1,2,2
1,1,1
1,1,1
1,1,2
1,1,1
2,2,2
1,2,1
1,1,2
1,1,2
1,1,1
1,1,2
1,2,2
1,1,2
1,2,1
1,1,2
1,1,1
1,1,2
1,2,1
1,1,2
1, ,1
1,1,2
1,1,1
2,1,1
1,1,1
1,1,1
1,1,1
1,2,2
1,2,2
1,1,1
1,2,2
1, ,1
1,2,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,2,2
1,1,1
3,2,1
1,2,1
1,1,2
1,2,1
1,1,2
1,2,1
1,1,1
1,2,2
1,1,1
1,1,1
1,1,2
2, ,1
2, ,1
1,1,1
1,2,2
1,2,2
1, ,1
1,1,1
1,2,2
1,1,1
1,2,1
1,1,1
1,1,2
1,1,2
1,1,2
 , , 
2,1,1
 , , 
1,1,1
3, ,2
2, ,1
1,1,2
1,2,2
1,1,2
1,1,1
1,1,1
1,1,1
1,1,2
1,2,1
1,2,2
2,1,1
1,1,1
2, ,2
1,1,2
1,2,1
2,2,2
1,1,1
1,1,2
1,2,2
1,2,1
2, ,1
1,1,1
2, ,2
1,2,2
1,1,1
2,2,1
1,1,1
1,1,2
2,1,2
1,1,1
1,1,2
1,2,1
1,1,2
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,2
1,2,2
1,1,2
3,1,1
1,2,2
1,1,1
1,1,2
3,2,2
2,1,2
2,2,1
1,2,2
3, ,1
1,2,1
1, ,2
1,1,1
2,1,2
2, ,1
1, ,2
1,2,1
1,2,1
1,1,2
1,1,1
2,1,1
3, ,1
2, ,2
1,2,2
2, ,2
1,1,1
1, ,2
2,2,2
1,1,1
1,2,1
1,1,1
1,1,1
1,1,1
1,2,2
1,1,2
1,2,1
1,1,2
1,2,2
1,1,1
1,2,2
1,1,1
1,2,2
1,1,1
1,2,1
3,1,1
1,1,2
1,1,2
1,1,2
1,1,2
1,1,2
1,2,1
1, ,1
1,1,1
1,1,2
1,1,1
1,1,1
1,2,1
8,1,2
1,2,2
1,1,1
1,2,2
1, ,1
 , , 
1,1,1
1,2,2
1,2,1
1,1,2
1, ,2
2, ,1
1,1,2
1,1,1
1,2,2
2, ,2
1,1,1
1,2,1
1,1,1
3,2,2
1,1,1
1,1,1
1,2,1
1,2,2
1,1,2
1,2,2
1,2,2
1,2,1
1, ,2
1, ,1
1, ,1
1,2,2
1, ,2
1,2,2
1,1,1
1,2,1
1,2,2
3,1,1
1,1,1
1,2,2
1,2,1
1,1,1
1,1,1
2,2,2
1,2,2
2, ,2
2, ,1
1,2,1
1,1,1
1,1,2
1,2,2
1,2,2
1,2,2
1,1,2
1,1,1
3,2,2
1,2,1
2, ,2
1,2,2
1,2,1
1,2,1
1,2,2
1,1,2
1,1,2
3,1,2
2, ,2
1,1,1
1,1,1
1,1,2
3,2,2
1,1,2
1,2,1
1,1,1
1,1,1
1,1,1
1,1,2
1,1,2
1,1,1
1,2,1
1,2,2
1, ,1
1,2,1
1,1,1
1,1,1
1, ,1
1,1,1
1,2,1
1,2,1
1,2,2
2, ,2
2,2,2
1,1,1
1,1,1
1,1,1
1,1,1
1, ,1
1,1,1
1,1,1
1,2,2
2, ,1
1,1,2
1,2,2
1, ,1
1,2,1
1,2,2
1,2,1
1,1,2
1,2,2
1,1,1
1,1,1
1,1,1
1,2,1
1,1,1
1,2,1
1,1,2
1,1,2
2, ,2
1, ,2
3,1,2
2, ,2
1,2,1
1,2,2
1,2,1
1,2,2
1,1,2
1,2,1
1,2,2
1,1,1
1,2,2
1,2,2
1,1,1
1,1,2
1,2,1
1,1,1
1,1,2
1,2,2
1,1,2
1,2,1
1,2,2
1,1,1
1,2,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
1,2,2
1,1,1
1,1,1
2,1,1
1,2,1
1,2,1
1,1,2
1,2,2
1,2,2
2,1,2
1,1,1
3, ,2
1,3,1
1,2,2
2,2,1
1,1,1
2,1,2
1, ,1
1,1,2
1,2,1
1,1,2
1,1,2
1,1,1
1,1,2
1,1,1
1,1,1
2, ,2
1,1,2
1,2,2
 , , 
2,1,2
1,2,2
1,2,1
1,1,2
1, ,2
1,1,2
1,1,1
1,1,2
 , , 
1,2,1
1,1,1
3,2,1
2,1,1
1, ,1
1, ,2
1,1,2
2, ,1
1,2,2
1,2,2
1,1,2
1, ,2
1,1,2
1,2,1
1,2,1
1,1,2
1,2,1
2, ,1
1,1,1
1,1,1
1,2,2
1,2,1
1,2,2
1,1,1
1,2,2
1,2,1
1,2,2
1,2,2
1,1,2
1,2,2
1,1,1
1,1,1
1,1,2
1,2,2
1,1,1
3,1,2
3,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1, ,2
2,1,1
1,1,1
1,1,1
8,1,2
1, ,2
2,1,1
1,1,2
2, ,2
1,2,2
1,1,2
1, ,2
1, ,2
1,1,2
1,2,2
 , , 
1,2,1
 , , 
1,1,1
8,2,1
1,2,2
1,2,1
1,1,2
1,2,2
7,1,1
1,2,1
1,1,1
2,2,2
 , , 
 , , 
 , , 
 , , 
 , , 
